classification;forecast_state;da_price_sign;imbalance_price_sign;da_vs_imb;planned_grid_state;realized_grid_state;grid_transition;combination_key;step_count;day_count;model_day_count;physical_step_count;source_step_count;target_step_count;transfer_step_count;energy_kwh;physical_energy_kwh;source_energy_kwh;target_energy_kwh;transfer_energy_kwh;impact_total_eur;impact_delta_grid_fee_eur;impact_rebap_settlement_eur;impact_imbalance_da_reference_eur;impact_imbalance_spread_eur;physical_impact_total_eur;physical_impact_delta_grid_fee_eur;physical_impact_rebap_settlement_eur;physical_impact_imbalance_da_reference_eur;physical_impact_imbalance_spread_eur;source_impact_total_eur;source_impact_delta_grid_fee_eur;source_impact_rebap_settlement_eur;source_impact_imbalance_da_reference_eur;source_impact_imbalance_spread_eur;target_impact_total_eur;target_impact_delta_grid_fee_eur;target_impact_rebap_settlement_eur;target_impact_imbalance_da_reference_eur;target_impact_imbalance_spread_eur;transfer_impact_total_eur;transfer_impact_delta_grid_fee_eur;transfer_impact_rebap_settlement_eur;transfer_impact_imbalance_da_reference_eur;transfer_impact_imbalance_spread_eur;models;selected_cover_model_days
1.1.1.1.1;over;neg;neg;DA_gt_imb;export;export;export_to_export;over__da_neg__imb_neg__DA_gt_imb__plan_export__real_export;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
1.1.1.1.2;over;neg;neg;DA_gt_imb;export;import;export_to_import;over__da_neg__imb_neg__DA_gt_imb__plan_export__real_import;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
1.1.1.1.3;over;neg;neg;DA_gt_imb;export;no_flow;export_to_no_flow;over__da_neg__imb_neg__DA_gt_imb__plan_export__real_no_flow;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
1.1.1.2.1;over;neg;neg;DA_gt_imb;import;export;import_to_export;over__da_neg__imb_neg__DA_gt_imb__plan_import__real_export;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
1.1.1.2.2;over;neg;neg;DA_gt_imb;import;import;import_to_import;over__da_neg__imb_neg__DA_gt_imb__plan_import__real_import;9;4;6;0;4;2;3;1,0570005670866678;0,0;0,33565593546666717;0,3429420450666669;0,37840258655333375;-0,11290511617470139;-0,13568716279691506;0,022782046622213666;0,014402622230632876;0,008379424391581012;0,0;0,0;0,0;0,0;0,0;-0,039435506962430415;-0,04308815243585592;0,0036526454734255;0,0026428115412820037;0,0010098339321436684;-0,031453199247602565;-0,04402347032520786;0,0125702710776053;0,0062090133252533375;0,00636125775235201;-0,042016409964668405;-0,048575540035851274;0,0065591300711828684;0,005550797364097536;0,001008332707085334;source,target,transfer;
1.1.1.2.3;over;neg;neg;DA_gt_imb;import;no_flow;import_to_no_flow;over__da_neg__imb_neg__DA_gt_imb__plan_import__real_no_flow;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
1.1.1.3.1;over;neg;neg;DA_gt_imb;no_flow;export;no_flow_to_export;over__da_neg__imb_neg__DA_gt_imb__plan_no_flow__real_export;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
1.1.1.3.2;over;neg;neg;DA_gt_imb;no_flow;import;no_flow_to_import;over__da_neg__imb_neg__DA_gt_imb__plan_no_flow__real_import;305;34;109;110;73;66;56;72,78149837489791;26,597536375452897;20,356820890211672;14,232177049716668;11,594964059516666;-6,766242621883112;-9,342960946369585;2,576718324486472;0,5746735755781808;2,0020447489083057;-2,254756264724182;-3,414325744516883;1,159569479792701;0,22077240620064065;0,9387970735920658;-1,9253450156054268;-2,613205097660423;0,6878600820549964;0,16163607111820122;0,5262240109367983;-1,4531035080121741;-1,8269845678721262;0,37388105985995196;0,10309376372965368;0,2707872961303014;-1,1330378335413294;-1,4884455363201519;0,3554077027788226;0,08917133452968518;0,26623636824914054;physical,source,target,transfer;physical:2025-08-10 [17:15]|transfer:2025-09-14 [13:30,13:45]
1.1.1.3.3;over;neg;neg;DA_gt_imb;no_flow;no_flow;no_flow_to_no_flow;over__da_neg__imb_neg__DA_gt_imb__plan_no_flow__real_no_flow;115;20;45;61;37;9;8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;physical,source,target,transfer;physical:2025-08-10 [15:45]
1.1.2.1.1;over;neg;neg;DA_lt_imb;export;export;export_to_export;over__da_neg__imb_neg__DA_lt_imb__plan_export__real_export;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
1.1.2.1.2;over;neg;neg;DA_lt_imb;export;import;export_to_import;over__da_neg__imb_neg__DA_lt_imb__plan_export__real_import;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
1.1.2.1.3;over;neg;neg;DA_lt_imb;export;no_flow;export_to_no_flow;over__da_neg__imb_neg__DA_lt_imb__plan_export__real_no_flow;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
1.1.2.2.1;over;neg;neg;DA_lt_imb;import;export;import_to_export;over__da_neg__imb_neg__DA_lt_imb__plan_import__real_export;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
1.1.2.2.2;over;neg;neg;DA_lt_imb;import;import;import_to_import;over__da_neg__imb_neg__DA_lt_imb__plan_import__real_import;8;5;7;0;3;3;2;0,5907594999999991;0,0;0,21663553749999967;0,14874519503333272;0,22537876746666669;-0,07005783050324502;-0,07583579701499951;0,0057779665117545;0,013202072005790629;-0,007424105494035643;0,0;0,0;0,0;0,0;0,0;-0,025822047234545138;-0,02780950394887484;0,0019874567143297003;0,0032377863967949947;-0,0012503296824649972;-0,017315684193121537;-0,019094420686428738;0,0017787364933072;0,0065341375777732994;-0,00475540108446598;-0,026920099075578338;-0,02893187237969594;0,0020117733041175997;0,0034301480312223347;-0,0014183747271046669;source,target,transfer;
1.1.2.2.3;over;neg;neg;DA_lt_imb;import;no_flow;import_to_no_flow;over__da_neg__imb_neg__DA_lt_imb__plan_import__real_no_flow;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
1.1.2.3.1;over;neg;neg;DA_lt_imb;no_flow;export;no_flow_to_export;over__da_neg__imb_neg__DA_lt_imb__plan_no_flow__real_export;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
1.1.2.3.2;over;neg;neg;DA_lt_imb;no_flow;import;no_flow_to_import;over__da_neg__imb_neg__DA_lt_imb__plan_no_flow__real_import;175;26;78;63;46;42;24;35,788724546834736;14,194516998088856;10,096083150658332;7,686813188087548;3,8113112100000004;-4,3009853177125885;-4,5941985700611205;0,2932132523485323;0,6143273530117859;-0,321114100663246;-1,6931880553890315;-1,8221501470446635;0,12896209165563202;0,2626341339802397;-0,13367204232460494;-1,2147957915263985;-1,2960341940339617;0,08123840250756337;0,17038195737260747;-0,08914355486504215;-0,9344374048879805;-0,9867562089547968;0,052318804066816264;0,11298041906882603;-0,060661615002007944;-0,45856406590917825;-0,4892580200276989;0,030693954118520637;0,06833084259011267;-0,03763688847159099;physical,source,target,transfer;physical:2025-08-10 [09:30,10:30,10:45]
1.1.2.3.3;over;neg;neg;DA_lt_imb;no_flow;no_flow;no_flow_to_no_flow;over__da_neg__imb_neg__DA_lt_imb__plan_no_flow__real_no_flow;118;14;32;47;40;23;8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;physical,source,target,transfer;physical:2025-08-10 [11:15,11:30,11:45,12:15,12:30,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,16:00,16:15]
1.3.1.1.1;over;neg;pos;DA_gt_imb;export;export;export_to_export;over__da_neg__imb_pos__DA_gt_imb__plan_export__real_export;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
1.3.1.1.2;over;neg;pos;DA_gt_imb;export;import;export_to_import;over__da_neg__imb_pos__DA_gt_imb__plan_export__real_import;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
1.3.1.1.3;over;neg;pos;DA_gt_imb;export;no_flow;export_to_no_flow;over__da_neg__imb_pos__DA_gt_imb__plan_export__real_no_flow;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
1.3.1.2.1;over;neg;pos;DA_gt_imb;import;export;import_to_export;over__da_neg__imb_pos__DA_gt_imb__plan_import__real_export;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
1.3.1.2.2;over;neg;pos;DA_gt_imb;import;import;import_to_import;over__da_neg__imb_pos__DA_gt_imb__plan_import__real_import;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
1.3.1.2.3;over;neg;pos;DA_gt_imb;import;no_flow;import_to_no_flow;over__da_neg__imb_pos__DA_gt_imb__plan_import__real_no_flow;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
1.3.1.3.1;over;neg;pos;DA_gt_imb;no_flow;export;no_flow_to_export;over__da_neg__imb_pos__DA_gt_imb__plan_no_flow__real_export;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
1.3.1.3.2;over;neg;pos;DA_gt_imb;no_flow;import;no_flow_to_import;over__da_neg__imb_pos__DA_gt_imb__plan_no_flow__real_import;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
1.3.1.3.3;over;neg;pos;DA_gt_imb;no_flow;no_flow;no_flow_to_no_flow;over__da_neg__imb_pos__DA_gt_imb__plan_no_flow__real_no_flow;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
1.3.2.1.1;over;neg;pos;DA_lt_imb;export;export;export_to_export;over__da_neg__imb_pos__DA_lt_imb__plan_export__real_export;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
1.3.2.1.2;over;neg;pos;DA_lt_imb;export;import;export_to_import;over__da_neg__imb_pos__DA_lt_imb__plan_export__real_import;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
1.3.2.1.3;over;neg;pos;DA_lt_imb;export;no_flow;export_to_no_flow;over__da_neg__imb_pos__DA_lt_imb__plan_export__real_no_flow;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
1.3.2.2.1;over;neg;pos;DA_lt_imb;import;export;import_to_export;over__da_neg__imb_pos__DA_lt_imb__plan_import__real_export;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
