run_id,horizon_start,horizon_end_exclusive,dispatch_day,initial_soc_wh,soc_next_publish_wh,objective_horizon_eur,opt_revenue_dispatch_day_eur,opt_cycle_aging_cost_dispatch_day_eur,opt_revenue_dispatch_day_after_aging_eur,solver_status,solver_termination,n_horizon_steps,n_dispatch_steps,terminal_soc_enforced,real_revenue_dispatch_day_eur,real_rebap_settlement_dispatch_day_eur,real_revenue_dispatch_day_net_eur,scenario
0,2025-07-08,2025-07-09 11:00:00,2025-07-08,"5000,0","4642,264652122807","1,3480969004810652","1,3360373158073928","0,47926858672898204","0,8567687290784107",ok,optimal,140,96,False,"1,3360373158073928","-2,0768951003447003e-17","1,3360373158073928",ideal
1,2025-07-09,2025-07-10 11:00:00,2025-07-09,"4642,264652122807","5217,94394636842","0,7596008209081002","1,0280434132996334","0,5052540153190999","0,5227893979805336",ok,optimal,140,96,False,"1,0280434132996334","-2,87202794879704e-17","1,0280434132996334",ideal
2,2025-07-10,2025-07-11 11:00:00,2025-07-10,"5217,94394636842","5867,869034087719","0,45561230493929683","1,1161584511004765","0,6107380190634172","0,5054204320370593",ok,optimal,140,96,False,"1,1161584511004765","-7,587331651848217e-17","1,1161584511004765",ideal
3,2025-07-11,2025-07-12 11:00:00,2025-07-11,"5867,869034087719","3353,511051631578","0,8512261254054794","1,6358607242049092","0,9074292365431335","0,7284314876617759",ok,optimal,140,96,False,"1,6358607242049092","-1,1308770808682312e-16","1,6358607242049092",ideal
4,2025-07-12,2025-07-13 11:00:00,2025-07-12,"3353,511051631578","4384,094737842121","0,4617486723852089","1,002783095598708","0,5106467167738287","0,49213637882487943",ok,optimal,140,96,False,"1,002783095598708","-1,2955467809661059e-17","1,002783095598708",ideal
5,2025-07-13,2025-07-14 11:00:00,2025-07-13,"4384,094737842121","5768,77350877193","1,0450821587722425","1,1426631617443976","0,5275827521446227","0,6150804095997753",ok,optimal,140,96,False,"1,1426631617443979","-1,323343212789041e-16","1,1426631617443976",ideal
6,2025-07-14,2025-07-15 11:00:00,2025-07-14,"5768,77350877193","3988,6715350877257","1,3906054961283707","1,6319736007737826","0,6185868717599937","1,0133867290137888",ok,optimal,140,96,False,"1,6319736007737826","7,276140746697024e-12","1,6319736007810586",ideal
7,2025-07-15,2025-07-16 11:00:00,2025-07-15,"3988,6715350877257","3560,494648122775","0,8327524330837138","1,3745725541987424","0,6868052233095842","0,6877673308891583",ok,optimal,140,96,False,"1,3745725541987426","-4,554735255624109e-16","1,3745725541987421",ideal
8,2025-07-16,2025-07-17 11:00:00,2025-07-16,"3560,494648122775","5173,093947368422","0,37327832400999306","1,0055708996935897","0,42862346199333423","0,5769474377002555",ok,optimal,140,96,False,"1,0055708996935897","-9,48311334354912e-12","1,0055708996841066",ideal
9,2025-07-17,2025-07-18 11:00:00,2025-07-17,"5173,093947368422","4829,952894875398","1,3886786645888214","1,6149109637046446","0,6697769041085204","0,9451340595961242",ok,optimal,140,96,False,"1,6149109637046446","-1,670902527450835e-17","1,6149109637046446",ideal
10,2025-07-18,2025-07-19 11:00:00,2025-07-18,"4829,952894875398","4516,635483456139","2,2897249080108435","2,866266315219257","0,5918339334491503","2,274432381770106",ok,optimal,140,96,False,"2,866266315219257","-3,931290848413482e-18","2,866266315219257",ideal
11,2025-07-19,2025-07-20 11:00:00,2025-07-19,"4516,635483456139","3538,6559210526298","0,42635680220847183","1,1920475157058816","0,7597248693319936","0,43232264637388806",ok,optimal,140,96,False,"1,1920475157058816","-1,3443752777675398e-17","1,1920475157058816",ideal
12,2025-07-20,2025-07-21 11:00:00,2025-07-20,"3538,6559210526298","4162,577982456141","0,702813278076805","1,5670394186197378","0,5875893983112666","0,9794500203084714",ok,optimal,140,96,False,"1,5670394186197378","-1,4513716450892388e-16","1,5670394186197378",ideal
13,2025-07-21,2025-07-22 11:00:00,2025-07-21,"4162,577982456141","4004,0335954912275","0,45588378226813486","0,8830938594414783","0,6019736202605055","0,28112023918097284",ok,optimal,140,96,False,"0,8830938594414782","-8,115392802210409e-18","0,8830938594414782",ideal
14,2025-07-22,2025-07-23 11:00:00,2025-07-22,"4004,0335954912275","6101,581492228071","1,4774194567010315","1,477988466845301","0,4708301733845036","1,0071582934607974",ok,optimal,140,96,False,"1,477988466845301","-6,597531410079683e-18","1,477988466845301",ideal
15,2025-07-23,2025-07-24 11:00:00,2025-07-23,"6101,581492228071","5111,45596391228","1,1314449734169634","2,282412994612054","0,7860373424414759","1,4963756521705784",ok,optimal,140,96,False,"2,2824129946120544","-1,2369127944111798e-18","2,2824129946120544",ideal
16,2025-07-24,2025-07-25 11:00:00,2025-07-24,"5111,45596391228","3619,690219298247","-0,5355965282549211","-0,35628815279663223","0,3756705254612623","-0,7319586782578945",ok,optimal,140,96,False,"-0,35628815279663223","2,7517259582054974e-17","-0,3562881527966322",ideal
