datetime,Last [W],Reale Erzeugung [W],solar_elevation_deg,DA Preis [EUR/MWh],reBAP unterdeckt [EUR/MWh],reBAP ueberdeckt [EUR/MWh]
2025-07-07 00:00:00,"120,22900000000025","0,0","-16,661326661872007","110,2","164,4","164,4"
2025-07-07 00:15:00,"263,7260000000003","0,0","-17,406138104313843","103,71","54,52","54,52"
2025-07-07 00:30:00,"325,95433333333364","0,0","-18,00255966441061","96,7","157,59","157,59"
2025-07-07 00:45:00,"225,5423333333336","0,0","-18,446613933979886","81,5","122,81","122,81"
2025-07-07 01:00:00,"232,82500000000027","0,0","-18,73525696782296","103,63","131,45","131,45"
2025-07-07 01:15:00,"283,2676666666669","0,0","-18,86647130182299","90,0","113,89","113,89"
2025-07-07 01:30:00,"276,0763333333336","0,0","-18,839329933984864","84,76","130,26","130,26"
2025-07-07 01:45:00,"298,8173333333336","0,0","-18,654026236045787","80,8","66,65","66,65"
2025-07-07 02:00:00,"283,2676666666669","0,0","-18,31186775842736","90,1","74,51","74,51"
2025-07-07 02:15:00,"209,54066666666694","0,0","-17,8152341812958","81,72","65,06","65,06"
2025-07-07 02:30:00,"236,70300000000026","0,0","-17,167502780474724","87,3","53,36","53,36"
2025-07-07 02:45:00,"259,97466666666696","0,0","-16,372947009046992","86,1","76,79","76,79"
2025-07-07 03:00:00,"174,82333333333358","0,0","-15,436614894133228","95,03","112,46","112,46"
2025-07-07 03:15:00,"295,09200000000027","0,0","-14,364195639184462","85,0","95,85","95,85"
2025-07-07 03:30:00,"353,1146666666669","0,0","-13,161882096616711","82,4","120,65","120,65"
2025-07-07 03:45:00,"240,5836666666669","0,0","-11,836235542086904","79,4","94,17","94,17"
2025-07-07 04:00:00,"237,59866666666687","0,0","-10,39405936097765","84,7","89,56","89,56"
2025-07-07 04:15:00,"314,2873333333336","0,0","-8,842285585776843","84,7","77,81","77,81"
2025-07-07 04:30:00,"155,1910000000003","0,0","-7,187876294564743","89,48","52,9","52,9"
2025-07-07 04:45:00,"244,46400000000025","0,0","-5,437742368185586","88,9","51,69","51,69"
2025-07-07 05:00:00,"244,46400000000025","0,0","-3,598679317942782","86,8","84,85","84,85"
2025-07-07 05:15:00,"249,13900000000024","0,0","-1,6773187126020872","93,1","103,14","103,14"
2025-07-07 05:30:00,"725,2340000000004","0,0","0,711564061975146","101,99","154,34","154,34"
2025-07-07 05:45:00,"4140,924333333334","23,36033333333215","2,617375763001948","107,1","131,89","131,89"
2025-07-07 06:00:00,"1261,553333333334","62,19166666666548","4,672203008769203","104,77","156,85","156,85"
2025-07-07 06:15:00,"264,16233333333395","124,32699999999882","6,819588505534386","113,6","130,27","130,27"
2025-07-07 06:30:00,"244,4273333333339","186,20799999999883","9,03521394647205","122,1","141,91","141,91"
2025-07-07 06:45:00,"279,3873333333339","256,1053333333321","11,30612732520647","126,6","65,48","65,48"
2025-07-07 07:00:00,"388,4893333333339","318,5523333333322","13,62360692826299","139,79","152,46","152,46"
2025-07-07 07:15:00,"559,8706666666673","341,86033333333216","15,980753226787362","125,1","154,9","154,9"
2025-07-07 07:30:00,"782,5480000000007","459,4063333333322","18,37155301409201","112,0","156,51","156,51"
2025-07-07 07:45:00,"423,6730000000007","846,5233333333321","20,790477290190157","108,4","66,33","66,33"
2025-07-07 08:00:00,"341,914333333334","1064,7009999999989","23,23208677337512","149,97","99,25","99,25"
2025-07-07 08:15:00,"519,9710000000006","760,5543333333321","25,69114041759468","122,04","107,46","107,46"
2025-07-07 08:30:00,"597,5786666666673","1396,9373333333326","28,162270110831976","100,7","125,05","125,05"
2025-07-07 08:45:00,"598,3806666666674","2325,7969999999987","30,639931406400105","71,6","121,72","121,72"
2025-07-07 09:00:00,"1486,1856666666672","1971,233333333332","33,11827868968837","144,95","68,09","68,09"
2025-07-07 09:15:00,"845,3766666666672","2366,896333333332","35,59103338703847","99,9","41,44","41,44"
2025-07-07 09:30:00,"610,1770000000005","1858,392333333332","38,05132216877063","80,28","59,05","59,05"
2025-07-07 09:45:00,"490,01466666666715","926,4799999999988","40,49150057871648","48,0","54,36","54,36"
2025-07-07 10:00:00,"497,69733333333386","1578,5389999999986","42,90292923464376","124,92","87,01","87,01"
2025-07-07 10:15:00,"536,4240000000005","4306,187999999999","45,27570144611472","84,6","64,67","64,67"
2025-07-07 10:30:00,"473,3716666666672","3810,488333333333","47,5983438586198","70,6","44,5","44,5"
2025-07-07 10:45:00,"376,75800000000055","2726,1156666666657","49,85746324600282","55,41","12,46","12,46"
2025-07-07 11:00:00,"617,5736666666672","1988,7919999999992","52,03715424900607","109,92","97,73","97,73"
2025-07-07 11:15:00,"1187,4285000000007","2725,9134999999987","54,11879259401497","77,21","105,33","105,33"
2025-07-07 11:30:00,"1340,2010000000007","3690,203666666666","56,0804111314274","64,5","65,71","65,71"
2025-07-07 11:45:00,"885,5003333333337","4614,069333333332","57,89640523219791","49,1","49,45","49,45"
2025-07-07 12:00:00,"667,5333333333339","3907,667999999999","59,53746597553614","76,4","82,74","82,74"
2025-07-07 12:15:00,"700,0130000000006","4573,299999999998","60,971035458631086","55,31","18,75","18,75"
2025-07-07 12:30:00,"622,1803333333339","4257,502333333332","62,16258093481312","41,8","49,69","49,69"
2025-07-07 12:45:00,"576,1306666666671","3180,9513333333325","63,07795089225876","39,2","48,72","48,72"
2025-07-07 13:00:00,"1768,2416666666672","3602,849999999999","63,68680615508014","62,55","54,08","54,08"
2025-07-07 13:15:00,"612,3616666666671","2457,4899999999984","63,96665075056202","42,1","89,85","89,85"
2025-07-07 13:30:00,"1583,7536666666672","661,5333333333322","63,90645171544352","34,6","46,14","46,14"
2025-07-07 13:45:00,"722,664666666667","581,7789999999989","63,50865622581637","26,7","35,26","35,26"
2025-07-07 14:00:00,"296,5766666666671","850,6283333333321","62,788550024016985","43,6","71,22","71,22"
2025-07-07 14:15:00,"369,36333333333374","660,3706666666654","61,77187947002689","40,6","90,63","90,63"
2025-07-07 14:30:00,"457,90133333333375","667,4299999999987","60,49076562453142","39,1","101,83","101,83"
2025-07-07 14:45:00,"248,3443333333338","1311,5686666666654","58,97982528295287","36,9","77,85","77,85"
2025-07-07 15:00:00,"330,5826666666671","2116,566999999998","57,27309784288136","27,9","95,28","95,28"
2025-07-07 15:15:00,"356,99733333333376","2080,0263333333323","55,40209435185658","33,4","140,05","140,05"
2025-07-07 15:30:00,"381,0766666666671","3476,434333333332","53,39483012289445","37,4","110,0","110,0"
2025-07-07 15:45:00,"2087,644666666667","3081,0223333333315","51,27559893386872","83,58","107,06","107,06"
2025-07-07 16:00:00,"2079,1406666666676","2228,9669999999987","49,06515514755487","25,01","100,91","100,91"
2025-07-07 16:15:00,"1195,1573333333336","2995,653999999998","46,78111011825788","34,5","106,43","106,43"
2025-07-07 16:30:00,"717,4863333333337","4575,263333333332","44,43838765709623","74,6","94,12","94,12"
2025-07-07 16:45:00,"613,757666666667","4879,508333333331","42,04978409621203","104,97","105,01","105,01"
2025-07-07 17:00:00,"644,0703333333337","4238,255999999999","39,62598736577794","40,02","72,69","72,69"
2025-07-07 17:15:00,"675,1863333333336","3243,998666666666","37,17652426856209","59,9","66,8","66,8"
2025-07-07 17:30:00,"906,2943333333336","746,502666666665","34,70964298396098","73,9","60,58","60,58"
2025-07-07 17:45:00,"800,652666666667","652,8569999999986","32,232689640870305","123,65","13,21","13,21"
2025-07-07 18:00:00,"575,0183333333337","295,14099999999854","29,752304636791123","52,5","89,75","89,75"
2025-07-07 18:15:00,"840,4160000000003","326,6009999999985","27,274595115236615","75,08","112,53","112,53"
2025-07-07 18:30:00,"1210,495666666667","845,8259999999985","24,80528410837173","94,3","120,89","120,89"
