run_id,horizon_start,horizon_end_exclusive,dispatch_day,initial_soc_wh,soc_next_publish_wh,objective_horizon_eur,opt_revenue_dispatch_day_eur,opt_cycle_aging_cost_dispatch_day_eur,opt_revenue_dispatch_day_after_aging_eur,solver_status,solver_termination,n_horizon_steps,n_dispatch_steps,terminal_soc_enforced,real_revenue_dispatch_day_eur,real_rebap_settlement_dispatch_day_eur,real_revenue_dispatch_day_net_eur,scenario
0,2025-07-08,2025-07-09 10:45:00,2025-07-08,"5000,0","4351,23614135091","3,156573188791997","3,0802080711539497","0,49411117889909584","2,586096892254854",ok,optimal,139,96,False,"3,0802080711539497","-0,9197630109180701","2,1604450602358796",target
1,2025-07-09,2025-07-10 10:45:00,2025-07-09,"4351,23614135091","5051,518509771246","0,9883287397453636","1,5282464257825539","0,4546476221275627","1,073598803654991",ok,optimal,139,96,False,"1,5282464257825539","-0,657323907088927","0,8709225186936268",target
2,2025-07-10,2025-07-11 10:45:00,2025-07-10,"5051,518509771246","5118,611139312893","-0,14766402236683596","0,513760132544986","0,5275423677608589","-0,013782235215872934",ok,optimal,139,96,False,"0,513760132544986","0,21683268694102906","0,7305928194860151",target
3,2025-07-11,2025-07-12 10:45:00,2025-07-11,"5118,611139312893","2921,5446629421717","0,0571348041750257","0,9279607578511846","0,914701477317863","0,013259280533321621",ok,optimal,139,96,False,"0,9279607578511846","0,12697405021936492","1,0549348080705494",target
4,2025-07-12,2025-07-13 10:45:00,2025-07-12,"2921,5446629421717","4384,094736842104","0,10314763072384414","0,5483697403290418","0,49007075082685514","0,058298989502186704",ok,optimal,139,96,False,"0,5483697403290418","0,1378315180611448","0,6862012583901866",target
5,2025-07-13,2025-07-14 10:45:00,2025-07-13,"4384,094736842104","4946,67","0,9132908784883793","0,9278852084663793","0,5127142677296881","0,4151709407366913",ok,optimal,139,96,False,"0,9278852084663793","0,010906637229591194","0,9387918456959705",target
6,2025-07-14,2025-07-15 10:45:00,2025-07-14,"4946,67","3849,9966690597585","2,333644910644451","2,6461693743126355","0,6251999274686539","2,020969446843982",ok,optimal,139,96,False,"2,6461693743126355","-0,982083699814758","1,6640856744978776",target
7,2025-07-15,2025-07-16 10:45:00,2025-07-15,"3849,9966690597585","3722,8119283929445","1,5672427295797273","1,8062368003600837","0,6596562305506075","1,1465805698094762",ok,optimal,139,96,False,"1,8062368003600835","-0,5722132646253842","1,2340235357346994",target
8,2025-07-16,2025-07-17 10:45:00,2025-07-16,"3722,8119283929445","4782,73447368421","1,4601412841749535","1,763324430921645","0,4456855482525861","1,3176388826690588",ok,optimal,139,96,False,"1,763324430921645","-0,5019438801621712","1,261380550759474",target
9,2025-07-17,2025-07-18 10:45:00,2025-07-17,"4782,73447368421","4788,718812052281","1,1812147057375353","1,5231268462679024","0,632709576051407","0,8904172702164957",ok,optimal,139,96,False,"1,5231268462679026","-0,32239388391943435","1,2007329623484684",target
10,2025-07-18,2025-07-19 10:45:00,2025-07-18,"4788,718812052281","4269,251448368421","1,4914472451320848","2,0433176547724914","0,5835114099545304","1,4598062448179607",ok,optimal,139,96,False,"2,0433176547724914","0,5814591264953711","2,624776781267862",target
11,2025-07-19,2025-07-20 10:45:00,2025-07-19,"4269,251448368421","3537,216837270174","0,478790856544002","1,2861835278903937","0,7378522326367909","0,5483312952536028",ok,optimal,139,96,False,"1,2861835278903937","-0,2709924072776297","1,015191120612764",target
12,2025-07-20,2025-07-21 10:45:00,2025-07-20,"3537,216837270174","3642,4046929824567","1,2900905817252055","1,448489724065542","0,651004030445338","0,7974856936202042",ok,optimal,139,96,False,"1,448489724065542","0,07097414634431544","1,5194638704098575",target
13,2025-07-21,2025-07-22 10:45:00,2025-07-21,"3642,4046929824567","4004,0335950898616","2,217776449393636","2,4675658595398753","0,607121116750766","1,8604447427891089",ok,optimal,139,96,False,"2,467565859539875","-2,0972014449570446","0,3703644145828304",target
14,2025-07-22,2025-07-23 10:45:00,2025-07-22,"4004,0335950898616","6101,58149122807","1,2470931992620986","1,3846650527637283","0,411420181185428","0,9732448715783004",ok,optimal,139,96,False,"1,3846650527637283","-0,005092140911732183","1,3795729118519962",target
15,2025-07-23,2025-07-24 10:45:00,2025-07-23,"6101,58149122807","4531,679209526315","1,0076551878285744","1,628647660558384","0,7548419786184584","0,8738056819399258",ok,optimal,139,96,False,"1,6286476605583842","0,6599136274298689","2,288561287988253",target
16,2025-07-24,2025-07-25 10:45:00,2025-07-24,"4531,679209526315","3483,423077298248","1,2190193085668848","1,8734923191731112","0,7493944903305872","1,124097828842524",ok,optimal,139,96,False,"1,8734923191731112","-1,6495880098905522","0,2239043092825591",target
17,2025-07-25,2025-07-26 10:45:00,2025-07-25,"3483,423077298248","3960,646308062283","-0,2270447685960334","0,484959508128907","0,5953544019788295","-0,11039489384992256",ok,optimal,139,96,False,"0,4849595081289069","0,661264530959343","1,1462240390882499",target
18,2025-07-26,2025-07-27 10:45:00,2025-07-26,"3960,646308062283","3047,293652129827","0,537360964280303","1,2473904451325915","0,7562892704159131","0,49110117471667836",ok,optimal,139,96,False,"1,2473904451325915","-0,9561326569148099","0,2912577882177816",target
19,2025-07-27,2025-07-28 10:45:00,2025-07-27,"3047,293652129827","6541,3849132807045","0,4281630666249968","0,7872138245278861","0,3868289209716669","0,4003849035562192",ok,optimal,139,96,False,"0,787213824527886","0,05976809219095704","0,846981916718843",target
20,2025-07-28,2025-07-29 10:45:00,2025-07-28,"6541,3849132807045","5938,085613035088","-0,239199074914633","0,6885092261473552","0,5535030249930993","0,13500620115425582",ok,optimal,139,96,False,"0,6885092261473552","-0,24690475799401054","0,44160446815334464",target
21,2025-07-29,2025-07-30 10:45:00,2025-07-29,"5938,085613035088","5699,687542828332","-0,6347904691214638","0,23081222010857852","0,5115650323660115","-0,2807528122574331",ok,optimal,139,96,False,"0,2308122201085785","0,0388933408587529","0,2697055609673314",target
22,2025-07-30,2025-07-31 10:45:00,2025-07-30,"5699,687542828332","4692,572016524708","-0,7637804412904592","0,14046160705428762","0,6387231584400068","-0,49826155138571926",ok,optimal,139,96,False,"0,14046160705428762","0,5412216396622713","0,6816832467165589",target
23,2025-07-31,2025-08-01 10:45:00,2025-07-31,"4692,572016524708","5186,687981435816","-0,40791982348120037","0,478061937761562","0,5396726924008456","-0,061610754639283574",ok,optimal,139,96,False,"0,478061937761562","0,6198780865586258","1,0979400243201878",target
24,2025-08-01,2025-08-02 10:45:00,2025-08-01,"5186,687981435816","4075,4207037543842","-1,0200406885763003","-0,12191698260918821","0,614827251614025","-0,7367442342232131",ok,optimal,139,96,False,"-0,12191698260918821","0,25196778437220685","0,13005080176301864",target
