Date (GMT+1),Day Ahead Auction EXAA (DE-LU)
,"Price (EUR/MWh, EUR/tCO2)"
2025-01-01T00:00+01:00,22.4
2025-01-01T00:15+01:00,-7.4
2025-01-01T00:30+01:00,-10.16
2025-01-01T00:45+01:00,-5.3
2025-01-01T01:00+01:00,5.54
2025-01-01T01:15+01:00,4
2025-01-01T01:30+01:00,-3
2025-01-01T01:45+01:00,-8.6
2025-01-01T02:00+01:00,4.6
2025-01-01T02:15+01:00,-0.5
2025-01-01T02:30+01:00,-6.51
2025-01-01T02:45+01:00,-3.5
2025-01-01T03:00+01:00,-1.05
2025-01-01T03:15+01:00,3.7
2025-01-01T03:30+01:00,-5.45
2025-01-01T03:45+01:00,-7.6
2025-01-01T04:00+01:00,-10.9
2025-01-01T04:15+01:00,-0.2
2025-01-01T04:30+01:00,-8.2
2025-01-01T04:45+01:00,-6.7
2025-01-01T05:00+01:00,-1.3
2025-01-01T05:15+01:00,-5
2025-01-01T05:30+01:00,-3.5
2025-01-01T05:45+01:00,-11.7
2025-01-01T06:00+01:00,5
2025-01-01T06:15+01:00,-4.57
2025-01-01T06:30+01:00,-7.5
2025-01-01T06:45+01:00,-15
2025-01-01T07:00+01:00,-17.54
2025-01-01T07:15+01:00,-5.06
2025-01-01T07:30+01:00,11.5
2025-01-01T07:45+01:00,-0.4
2025-01-01T08:00+01:00,11.5
2025-01-01T08:15+01:00,-9.19
2025-01-01T08:30+01:00,-19.9
2025-01-01T08:45+01:00,-22.4
2025-01-01T09:00+01:00,30.6
2025-01-01T09:15+01:00,-14.9
2025-01-01T09:30+01:00,-29.91
2025-01-01T09:45+01:00,-18.74
2025-01-01T10:00+01:00,23
2025-01-01T10:15+01:00,1.52
2025-01-01T10:30+01:00,-32.4
2025-01-01T10:45+01:00,-34.91
2025-01-01T11:00+01:00,19.91
2025-01-01T11:15+01:00,-9.32
2025-01-01T11:30+01:00,-29.91
2025-01-01T11:45+01:00,-3.9
2025-01-01T12:00+01:00,12.42
2025-01-01T12:15+01:00,9
2025-01-01T12:30+01:00,-24.9
2025-01-01T12:45+01:00,-16.85
2025-01-01T13:00+01:00,6.9
2025-01-01T13:15+01:00,-29.92
2025-01-01T13:30+01:00,-10.68
2025-01-01T13:45+01:00,15.5
2025-01-01T14:00+01:00,-11.11
2025-01-01T14:15+01:00,-24.92
2025-01-01T14:30+01:00,-9.91
2025-01-01T14:45+01:00,27.9
2025-01-01T15:00+01:00,-27.49
2025-01-01T15:15+01:00,-14.99
