ID;begin_ts;end_ts;estimated_dc_capacity;estimated_ac_capacity;tilt;azimuth;annual_yield;north;south;west;east;;;;
ID001;2014-01-01 00:00:00+00:00;2015-11-16 23:50:00+00:00;2711;2670;42;150;1036;52.03555556;52.03416667;5.173055556;5.175277778;;;;
ID002;2014-01-01 00:00:00+00:00;2017-12-28 00:21:00+00:00;1902;2000;30;170;1023;51.97083333;51.96944444;5.328055556;5.330277778;;;;
ID003;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;2503;2250;40;203;1015;52.10944444;52.10805556;5.124166667;5.126388889;;;;
ID004;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;2087;2030;35;190;994;52.09638889;52.095;5.118611111;5.120833333;;;;
ID005;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;2413;2500;15;180;984;52.07527778;52.07388889;5.1275;5.129722222;;;;
ID006;2014-01-01 00:00:00+00:00;2017-09-13 14:42:00+00:00;2330;2200;17;195;1020;52.09388889;52.0925;5.058611111;5.060833333;;;;
ID007;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;490;500;32;180;1016;52.06277778;52.06138889;5.131944444;5.134166667;;;;
ID008;2014-01-01 00:00:00+00:00;2017-02-05 23:59:00+00:00;507;510;32;180;1023;52.06305556;52.06166667;5.130277778;5.1325;;;;
ID009;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;2346;2020;45;176;1011;52.07972222;52.07833333;5.138055556;5.140277778;;;;
ID010;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;1864;1750;40;215;1022;52.04166667;52.04027778;5.18;5.182222222;;;;
ID011;2014-01-01 00:00:00+00:00;2016-12-06 19:04:00+00:00;3449;2820;33;269;845;52.02638889;52.025;5.170833333;5.173055556;;;;
ID012;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;1403;1220;41;160;1046;52.06611111;52.06472222;5.193888889;5.196111111;;;;
ID013;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;2114;2025;40;195;1031;52.05861111;52.05722222;5.131111111;5.133333333;;;;
ID014;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;1738;1610;40;150;1056;52.07222222;52.07083333;5.188333333;5.190555556;;;;
ID015;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;2872;2540;50;140;985;52.01138889;52.01;5.175555556;5.177777778;;;;
ID016;2014-01-01 00:00:00+00:00;2017-05-03 18:57:00+00:00;434;500;20;180;981;52.08805556;52.08666667;5.097222222;5.099444444;;;;
ID017;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;421;500;35;185;1033;52.09694444;52.09555556;5.128333333;5.130555556;;;;
ID018;2014-01-01 00:00:00+00:00;2015-11-01 21:31:00+00:00;642;620;25;190;1008;52.08444444;52.08305556;5.061388889;5.063611111;;;;
ID019;2014-01-01 00:00:00+00:00;2017-12-06 23:59:00+00:00;1898;1620;29;128;966;52.12444444;52.12305556;5.109444444;5.111666667;;;;
ID020;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;2025;2310;40;250;887;52.085;52.08361111;5.086111111;5.088333333;;;;
ID021;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;2921;2660;25;165;1017;52.06944444;52.06805556;5.137777778;5.14;;;;
ID022;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;1332;1510;35;193;1029;52.10055556;52.09916667;5.136111111;5.138333333;;;;
ID023;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;2592;3100;30;160;1026;51.97583333;51.97444444;4.933611111;4.935833333;;;;
ID024;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;440;500;25;230;942;52.09277778;52.09138889;5.098888889;5.101111111;;;;
ID025;2014-01-01 00:00:00+00:00;2017-09-28 12:34:00+00:00;450;560;25;205;960;52.03611111;52.03472222;5.148055556;5.150277778;;;;
ID026;2014-01-01 00:00:00+00:00;2017-10-10 04:40:00+00:00;447;540;25;180;987;52.06722222;52.06583333;5.129444444;5.131666667;;;;
ID027;2014-01-01 00:00:00+00:00;2016-07-10 23:59:00+00:00;4344;4980;24.5;185;1063;52.10333333;52.10194444;5.037777778;5.04;;;;
ID028;2014-01-01 00:00:00+00:00;2017-12-06 11:26:00+00:00;1812;1750;15;167;982;52.10166667;52.10027778;5.217222222;5.219444444;;;;
ID029;2014-01-11 21:31:00+00:00;2015-09-10 23:59:00+00:00;811;975;25;170;1015;52.085;52.08361111;5.206111111;5.208333333;;;;
ID030;2014-01-01 00:00:00+00:00;2017-09-15 09:12:00+00:00;3930;3660;22;225;996;52.09361111;52.09222222;5.053055556;5.055277778;;;;
ID031;2014-01-01 00:00:00+00:00;2017-12-29 12:43:00+00:00;1585;1630;30;168;1054;52.08222222;52.08083333;5.085833333;5.088055556;;;;
ID032;2014-01-01 00:00:00+00:00;2017-08-30 16:19:00+00:00;1821;1750;15;173;1000;52.10138889;52.1;5.217222222;5.219444444;;;;
ID033;2014-01-01 00:00:00+00:00;2015-12-16 23:33:00+00:00;1429;1710;30;175;1082;52.09361111;52.09222222;5.098333333;5.100555556;;;;
ID034;2014-01-01 00:00:00+00:00;2015-10-18 08:41:00+00:00;2480;2770;42;273;798;52.09333333;52.09194444;5.090277778;5.0925;;;;
ID035;2014-01-01 00:00:00+00:00;2016-09-28 09:15:00+00:00;3244;3060;32;174;1065;52.17444444;52.17305556;5.273055556;5.275277778;;;;
ID036;2015-06-11 00:00:00+00:00;2017-12-31 23:58:00+00:00;3845;3660;15;183;1013;52.08472222;52.08333333;5.059166667;5.061388889;;;;
ID037;2015-08-03 00:00:00+00:00;2017-11-11 10:19:00+00:00;2053;2200;17;285;878;52.29222222;52.29083333;4.911666667;4.913888889;;;;
ID038;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;282;360;33;146;930;52.09888889;52.0975;5.106944444;5.109166667;;;;
ID039;2014-01-01 00:00:00+00:00;2017-11-15 12:34:00+00:00;2215;2550;20;210;940;52.09277778;52.09138889;5.086666667;5.088888889;;;;
ID040;2014-01-01 00:00:00+00:00;2017-12-02 23:59:00+00:00;1390;1600;42;202;1016;52.11055556;52.10916667;5.126666667;5.128888889;;;;
ID041;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;271;330;25;220;945;52.065;52.06361111;5.141388889;5.143611111;;;;
ID042;2014-01-01 00:00:00+00:00;2017-12-08 18:50:00+00:00;2005;2050;45;153;1035;52.08611111;52.08472222;5.084444444;5.086666667;;;;
ID043;2014-05-11 00:01:00+00:00;2017-11-16 16:52:00+00:00;879;1000;55;153;938;52.08583333;52.08444444;5.124722222;5.126944444;;;;
ID044;2014-01-01 00:00:00+00:00;2017-09-14 18:55:00+00:00;3611;3440;15;170;1002;52.09833333;52.09555556;5.137222222;5.141666667;;;;
ID045;2014-01-01 00:00:00+00:00;2017-11-04 20:09:00+00:00;2893;3325;35;130;952;52.10083333;52.09944444;5.249166667;5.251388889;;;;
ID046;2015-01-01 00:00:00+00:00;2017-12-06 23:59:00+00:00;1940;2160;24;135;989;52.09055556;52.08916667;5.094444444;5.096666667;;;;
ID047;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;1934;2500;20;205;982;52.09277778;52.09138889;5.086666667;5.088888889;;;;
ID048;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;1318;1600;45;185;1050;52.08722222;52.08583333;5.056388889;5.058611111;;;;
ID049;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;1639;1750;36;190;1051;52.09972222;52.09833333;5.078333333;5.080555556;;;;
ID050;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;3077;2500;25;125;944;52.07888889;52.0775;5.222777778;5.225;;;;
ID051;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;374;470;42;208;958;52.14;52.13722222;5.376388889;5.380833333;;;;
ID052;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;3483;3330;25;195;1048;52.08888889;52.0875;5.093333333;5.095555556;;;;
ID053;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;1765;1740;41;187;1006;52.095;52.09222222;5.092222222;5.096666667;;;;
ID054;2014-01-01 00:00:00+00:00;2017-11-23 19:05:00+00:00;3636;3960;40;193;1077;52.2125;52.21111111;4.859166667;4.861388889;;;;
ID055;2014-07-01 00:01:00+00:00;2017-12-31 23:58:00+00:00;1361;1550;35;176;1040;52.09055556;52.08805556;5.094444444;5.096666667;;;;
ID056;2014-01-01 00:00:00+00:00;2017-08-12 23:59:00+00:00;2790;3280;30;185;1088;52.08361111;52.08222222;5.013888889;5.016111111;;;;
ID057;2014-01-01 00:00:00+00:00;2017-10-24 16:01:00+00:00;2348;2800;46;180;1036;51.98277778;51.98138889;5.347777778;5.35;;;;
ID058;2014-01-01 00:00:00+00:00;2017-10-10 11:12:00+00:00;1678;1600;45;135;997;52.06638889;52.065;4.916666667;4.918888889;;;;
ID059;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;1843;1750;15;162;976;52.11083333;52.10944444;5.146944444;5.149166667;;;;
ID060;2014-01-01 00:00:00+00:00;2017-07-11 06:14:00+00:00;4986;5000;24;91;879;52.18333333;52.18194444;5.403333333;5.405555556;;;;
ID061;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;1860;2150;25;197;982;52.09888889;52.0975;5.132777778;5.135;;;;
ID062;2014-01-01 00:00:00+00:00;2017-08-04 11:55:00+00:00;2526;2850;47;129;935;52.085;52.08361111;5.045277778;5.0475;;;;
ID063;2014-01-01 00:00:00+00:00;2017-04-02 20:44:00+00:00;2291;2140;40;220;1012;52.08694444;52.08416667;5.149444444;5.153888889;;;;
ID064;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;595;490;25;206;975;52.115;52.11222222;5.174722222;5.179166667;;;;
ID065;2014-01-01 00:00:00+00:00;2017-09-15 18:27:00+00:00;1225;1210;30;177;1026;52.09972222;52.09833333;5.13;5.132222222;;;;
ID066;2014-01-01 00:00:00+00:00;2015-12-16 23:33:00+00:00;1693;1740;60;215;955;52.08638889;52.085;5.135;5.137222222;;;;
ID067;2014-01-01 00:00:00+00:00;2016-06-16 23:59:00+00:00;4991;3975;12;275;897;52.10194444;52.10055556;5.141388889;5.143611111;;;;
ID068;2014-01-01 09:26:00+00:00;2017-12-31 23:58:00+00:00;1416;1575;25;150;1022;52.09583333;52.09444444;5.036111111;5.038333333;;;;
ID069;2014-01-01 00:00:00+00:00;2017-10-19 23:59:00+00:00;627;490;40;137;1016;52.13388889;52.1325;5.014722222;5.016944444;;;;
ID070;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;1429;1310;35;185;1074;52.10416667;52.10277778;5.047222222;5.049444444;;;;
ID071;2014-01-01 00:00:00+00:00;2015-12-16 23:33:00+00:00;373;410;25;196;1006;52.12527778;52.12388889;5.192222222;5.194444444;;;;
ID072;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;2027;1620;15;200;979;52.10611111;52.10472222;5.047222222;5.049444444;;;;
ID073;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;2918;3250;26;220;990;52.07888889;52.0775;5.221388889;5.223611111;;;;
ID074;2014-01-01 00:00:00+00:00;2016-07-28 08:09:00+00:00;456;500;25;203;984;52.08666667;52.08388889;5.129444444;5.133888889;;;;
ID075;2014-01-01 00:00:00+00:00;2017-12-31 23:58:00+00:00;4125;3970;25;193;1013;52.08194444;52.08055556;5.125555556;5.127777778;;;;
