Uhrzeit;Netzbezug [kW];Netzeinspeisung [kW];Stromverbrauch [kW];Akkubeladung [kW];Akkuentnahme [kW];Stromerzeugung [kW];Akku Spannung [V];Akku Stromstärke [A]
21.07.2025 00:10:25;0,220457;0;0,227756;0;0,00876;0;49,370998;-0,19
21.07.2025 00:20:29;0,298304;0;0,314311;0;0,010186;0;49,368;-0,19
21.07.2025 00:25:31;0,296849;0;0,30267;0;0,008731;0;49,366001;-0,19
21.07.2025 00:30:33;0,296849;0;0,30267;0;0,008731;0;49,362999;-0,19
21.07.2025 00:35:36;0,29877;0;0,301671;0;0,008702;0;49,362;-0,19
21.07.2025 00:40:38;0,20372;0;0,209541;0;0,011641;0;49,358002;-0,19
21.07.2025 00:45:39;0,189797;0;0,198557;0;0,00876;0;49,355999;-0,19
21.07.2025 00:50:39;0,178711;0;0,199219;0;0,008789;0;49,354;-0,19
21.07.2025 00:55:42;0,223352;0;0,232054;0;0,008702;0;49,351002;-0,19
21.07.2025 01:00:44;0,296849;0;0,30267;0;0,008731;0;49,348999;-0,19
21.07.2025 01:05:46;0,288118;0;0,30267;0;0,008731;0;49,348;-0,19
21.07.2025 01:10:48;0,288118;0;0,291029;0;0,014551;0;49,345001;-0,19
21.07.2025 01:15:49;0,283236;0;0,291995;0;0,00876;0;49,342999;-0,19
21.07.2025 01:20:51;0,267746;0;0,279387;0;0,008731;0;49,341;-0,19
21.07.2025 01:25:53;0,177527;0;0,186258;0;0,008731;0;49,337002;-0,19
21.07.2025 01:35:57;0,176072;0;0,186258;0;0,008731;0;49,334;-0,18
21.07.2025 01:41:00;0,34228;0;0,348082;0;0,011603;0;49,332001;-0,19
21.07.2025 01:46:00;0,380859;0;0,398438;0;0,008789;0;49,330002;-0,18
21.07.2025 01:56:03;0,364389;0;0,373134;0;0,008745;0;49,326;-0,19
21.07.2025 02:06:07;0,346324;0;0,355055;0;0,008731;0;49,32;-0,19
21.07.2025 02:11:08;0,265716;0;0,268636;0;0,00876;0;49,319;-0,19
21.07.2025 02:16:09;0,189797;0;0,198557;0;0,01168;0;49,316002;-0,19
21.07.2025 02:21:10;0,186877;0;0,198557;0;0,00876;0;49,313999;-0,19
21.07.2025 02:31:14;0,210996;0;0,221182;0;0,008731;0;49,310001;-0,19
21.07.2025 02:36:16;0,282298;0;0,291029;0;0,008731;0;49,307999;-0,19
21.07.2025 02:46:20;0,275022;0;0,279387;0;0,008731;0;49,303001;-0,19
21.07.2025 02:56:22;0,236516;0;0,251116;0;0,00876;0;49,299;-0,19
21.07.2025 03:11:28;0,164916;0;0,170737;0;0,009701;0;49,292;-0,16
