Uhrzeit;Netzbezug [kW];Netzeinspeisung [kW];Stromverbrauch [kW];Akkubeladung [kW];Akkuentnahme [kW];Stromerzeugung [kW];Akku Spannung [V];Akku Stromstärke [A]
18.08.2025 00:09:21;0;0,02117;0,233596;0;0,254401;0;53,099998;-4,1
18.08.2025 00:14:24;0,005677;0,027556;0,262874;0;0,284992;0;53;-7,4
18.08.2025 00:19:26;0,000125;0,028011;0,327407;0;0,355601;0;53;-5,8
18.08.2025 00:24:28;0,002649;0,025101;0,301578;0;0,323405;0;53;-7
18.08.2025 00:29:30;0,006537;0,027648;0,300851;0;0,322496;0;53;-5,9
18.08.2025 00:34:32;0,005048;0,022555;0,280479;0;0,297759;0;53;-5,8
18.08.2025 00:39:34;0,003422;0,022918;0,242281;0;0,262108;0;53,099998;-3,6
18.08.2025 00:44:36;0,00681;0,019281;0,240462;0;0,252467;0;53;-4,7
18.08.2025 00:49:38;0,005889;0,02401;0,22009;0;0,238643;0;53;-4,6
18.08.2025 00:54:40;0,002899;0,023282;0,217908;0;0,238098;0;53;-4,2
18.08.2025 00:59:42;0,009868;0,031649;0,307035;0;0,329044;0;53;-6
18.08.2025 01:04:44;0,000875;0,026193;0,293575;0;0,318858;0;53;-6,1
18.08.2025 01:09:46;0,000671;0,02401;0,277568;0;0,300851;0;53;-5,7
18.08.2025 01:14:48;0,001228;0,021463;0,277932;0;0,298122;0;53;-5,8
18.08.2025 01:19:50;0,00033;0,030922;0,226275;0;0,257015;0;53;-3,6
18.08.2025 01:24:52;0,009413;0,023282;0,168069;0;0,181893;0;53,099998;-4,5
18.08.2025 01:29:54;0,015415;0,032741;0,29503;0;0,31231;0;53;-6,5
18.08.2025 01:34:56;0,000887;0,028739;0,315766;0;0,343414;0;53;-6,3
18.08.2025 01:39:58;0,004718;0,031286;0,443091;0;0,469647;0;52,900002;-8,6
18.08.2025 01:45:00;0;0,029103;0,373972;0;0,403438;0;52,900002;-7,5
18.08.2025 01:50:02;0,002819;0,027284;0,372517;0;0,396526;0;53;-7,7
18.08.2025 01:55:02;0,001625;0,035522;0,321899;0;0,355591;0;53;-5,6
18.08.2025 02:00:04;0,003558;0,028011;0,287754;0;0,312492;0;53;-7,3
18.08.2025 02:05:05;0;0,02482;0,286156;0;0,310975;0;53;-4,6
18.08.2025 02:10:08;0;0,020667;0,223352;0;0,244201;0;53;-4,6
18.08.2025 02:15:10;0;0,022918;0,219727;0;0,242827;0;53;-4,6
18.08.2025 02:20:12;0,003069;0,030922;0,192806;0;0,220272;0;53;-6,2
18.08.2025 02:25:14;0;0,025101;0,276841;0;0,301942;0;53;-5,6
18.08.2025 02:30:16;0;0,022918;0,272475;0;0,29503;0;53;-5,5
18.08.2025 02:35:17;0,000034;0,02336;0,265716;0;0,289623;0;53;-5,2
18.08.2025 02:40:18;0,00008;0,020805;0,267176;0;0,287798;0;53;-5,4
18.08.2025 02:45:20;0,001762;0,024737;0,215725;0;0,238098;0;53;-3,4
18.08.2025 02:50:22;0,003342;0,023282;0,161885;0;0,182075;0;53;-3,2
18.08.2025 02:55:24;0,004979;0,024737;0,213542;0;0,233369;0;53;-4,6
18.08.2025 03:00:26;0,005775;0,028739;0,235369;0;0,258652;0;53;-7,6
18.08.2025 03:05:28;0,000011;0,026193;0,337229;0;0,36324;0;53;-5,5
18.08.2025 03:10:30;0;0,022918;0,270657;0;0,293393;0;53;-5,4
18.08.2025 03:15:32;0;0,024374;0,264836;0;0,289392;0;53;-5,4
18.08.2025 03:20:34;0,005195;0,017825;0,278296;0;0,290483;0;53;-5,4
18.08.2025 03:25:36;0,008799;0,031286;0,265564;0;0,288118;0;53;-7
18.08.2025 03:30:38;0,000296;0,028739;0,348143;0;0,377064;0;52,900002;-7,4
18.08.2025 03:35:40;0;0,023646;0,322314;0;0,345778;0;53;-6,2
